en,fr,description,file,hash
"Daily volume (last %d days)","Volume quotidien (%d derniers jours)",,site/modules/Cookie/ProcessCookie.module.php,7e7ff56361ef7fbf1a403d4fb64bd01d
Dark,Sombre,,site/modules/Cookie/ProcessCookie.module.php,a18366b217ebf811ad1886e4f4f865b2
Date,Date,,site/modules/Cookie/ProcessCookie.module.php,44749712dbec183e983dcd78a7736c41
Desktop,Bureau,,site/modules/Cookie/ProcessCookie.module.php,2310408a63388fe57e3a4177168a8798
"Dim page behind the banner","Assombrir la page derrière le bandeau",,site/modules/Cookie/ProcessCookie.module.php,19517d7134160977dd435ce39e137e31
"Download .html","Télécharger le .html",,site/modules/Cookie/ProcessCookie.module.php,d700e49b6060dd545bfa0476edca3720
"Download settings.json","Télécharger settings.json",,site/modules/Cookie/ProcessCookie.module.php,d8cd0f9e0d02b0f725f5a4635fced5e9
"Each swatch previews three colors, left to right: primary button, background, secondary button.","Chaque échantillon présente trois couleurs, de gauche à droite : bouton principal, arrière-plan, bouton secondaire.",,site/modules/Cookie/ProcessCookie.module.php,687716997dac3aae4ff137ec064ab405
"Enable dark theme (prefers-color-scheme: dark)","Activer le thème sombre (prefers-color-scheme: dark)",,site/modules/Cookie/ProcessCookie.module.php,1809b4dcfe9af45fce545a5d3a8774f0
Export,Exporter,,site/modules/Cookie/ProcessCookie.module.php,0095a9fa74d1713e43e370a7d7846224
"Export CSV","Exporter en CSV",,site/modules/Cookie/ProcessCookie.module.php,c04f1e4841a6af78088d6ccf6f3a8a76
"Font family",Police,,site/modules/Cookie/ProcessCookie.module.php,4c0ff9700cc0ef77c92b2627bdcd1fb8
Frame,Cadre,,site/modules/Cookie/ProcessCookie.module.php,3bb3e8c8a24891ba0f7608bcc96f8b0a
ID,ID,,site/modules/Cookie/ProcessCookie.module.php,b718adec73e04ce3ec720dd11a06a308
"IP (hashed)","IP (hachée)",,site/modules/Cookie/ProcessCookie.module.php,ed4f457da638bde3ca762927ed248683
Icon,Icône,,site/modules/Cookie/ProcessCookie.module.php,817434295a673aed431435658b65d9a7
"Icon color","Couleur de l'icône",,site/modules/Cookie/ProcessCookie.module.php,534b7c706186028f1b4f51344bbca176
Import,Importer,,site/modules/Cookie/ProcessCookie.module.php,72d6d7a1885885bb55a565fd1070581a
"Import settings","Importer les paramètres",,site/modules/Cookie/ProcessCookie.module.php,6005f32a6b0b2eff40beaf1834123d4d
"Imported %1$d settings (%2$d ignored).","%1$d paramètres importés (%2$d ignorés).",,site/modules/Cookie/ProcessCookie.module.php,f6ac66b09e72906ef2453a8834c73470
"Importing overwrites the current settings. Consider exporting a backup first.","L'importation écrase les paramètres actuels. Pensez à exporter une sauvegarde au préalable.",,site/modules/Cookie/ProcessCookie.module.php,18834916829a38f3163b19d32ce564e1
"Inherit from site","Hériter du site",,site/modules/Cookie/ProcessCookie.module.php,dae47d40a59dc1bb51bd24a025ec08af
"Invalid JSON.","JSON invalide.",,site/modules/Cookie/ProcessCookie.module.php,1ad5711558f857533fed41f1fd1dd681
Layout,"Mise en page",,site/modules/Cookie/ProcessCookie.module.php,ebd9bec4d70abc789d439c1f136b0538
Links,Liens,,site/modules/Cookie/ProcessCookie.module.php,bd908db5ccb07777ced8023dffc802f4
"Max width","Largeur maximale",,site/modules/Cookie/ProcessCookie.module.php,477964da3b7a710156efc82fc4bc72e2
Mobile,Mobile,,site/modules/Cookie/ProcessCookie.module.php,87d17f4624a514e81dc7c8e016a7405c
Modal,Modale,,site/modules/Cookie/ProcessCookie.module.php,c59d6df802c32f037c2a15ff75faec17
Monospace,Monospace,,site/modules/Cookie/ProcessCookie.module.php,a3fd27e2bbcda0c7be0037ee70829384
Newer,"Plus récent",,site/modules/Cookie/ProcessCookie.module.php,236c7642a79eeb1b4154eb4712bd4068
"No consent records in the selected period yet. Statistics will appear once visitors start making choices.","Aucun enregistrement de consentement pour la période sélectionnée. Les statistiques apparaîtront dès que les visiteurs feront des choix.",,site/modules/Cookie/ProcessCookie.module.php,13714d36d70292e9e67c43f8d5601eb3
"No background (icon only)","Aucun arrière-plan (icône seule)",,site/modules/Cookie/ProcessCookie.module.php,50439895ce2d5960bc1b29c976ec099e
None,Aucun,,site/modules/Cookie/ProcessCookie.module.php,6adf97f83acf6453d4a6a4b1070f3754
"Nothing to import — choose a file or paste JSON.","Rien à importer — choisissez un fichier ou collez du JSON.",,site/modules/Cookie/ProcessCookie.module.php,2ef00be329855f27b740af6bcebf1445
"Offset X","Décalage X",,site/modules/Cookie/ProcessCookie.module.php,85702e5968e1616bd5c577cf306b9806
"Offset Y","Décalage Y",,site/modules/Cookie/ProcessCookie.module.php,73411f5996beaef37222d8cac0b89b71
Older,"Plus ancien",,site/modules/Cookie/ProcessCookie.module.php,625fd29749d91880963143cfd589bd8f
"Only necessary","Seulement nécessaires",,site/modules/Cookie/ProcessCookie.module.php,1161afd7e32ff458ab47afd41eeb0ab5
Padding,"Marge intérieure",,site/modules/Cookie/ProcessCookie.module.php,a10443964156b9e87c95e74c8f9baf15
"Page %1$d of %2$d","Page %1$d sur %2$d",,site/modules/Cookie/ProcessCookie.module.php,3a1ed905045e5cf29efec452131f9403
Placeholder,"Espace réservé",,site/modules/Cookie/ProcessCookie.module.php,68753d36ec0c4d7768b20993268d68d1
Position,Position,,site/modules/Cookie/ProcessCookie.module.php,52f5e0bc3859bc5f5e25130b6c7e8881
Preferences,Préférences,,site/modules/Cookie/ProcessCookie.module.php,d0834fcec6337785ee749c8f5464f6f6
Presets,Préréglages,,site/modules/Cookie/ProcessCookie.module.php,eb81441fe20963ff9e8e69c5b32fc625
Preview,Aperçu,,site/modules/Cookie/ProcessCookie.module.php,31fde7b05ac8952dacf4af8a704074ec
"Primary button","Bouton principal",,site/modules/Cookie/ProcessCookie.module.php,7c81d84b14ee6209a9afa0f4a06cff54
"Primary text","Texte principal",,site/modules/Cookie/ProcessCookie.module.php,9357eb899e4060dd46a48207b967a0e8
"Reset to defaults","Réinitialiser aux valeurs par défaut",,site/modules/Cookie/ProcessCookie.module.php,21e2bb42873eddcb9b476b8eafbe0c18
Round,Rond,,site/modules/Cookie/ProcessCookie.module.php,b7f41fc1412ad2ee75e9b2635d3b9d5c
Rounded,Arrondi,,site/modules/Cookie/ProcessCookie.module.php,bef2481eda40bd121482f1814d72314f
"Same order as above: primary button, background, secondary button.","Même ordre que ci-dessus : bouton principal, arrière-plan, bouton secondaire.",,site/modules/Cookie/ProcessCookie.module.php,7dc627172c2de0d2cd31f6373b5986a3
"Save design","Enregistrer le design",,site/modules/Cookie/ProcessCookie.module.php,eb503511e27315827ba931d4cf89f353
"Save failed","Échec de l'enregistrement",,site/modules/Cookie/ProcessCookie.module.php,e32a4e5887229cc3ce7412591de16cff
Saved,Enregistré,,site/modules/Cookie/ProcessCookie.module.php,248336101b461380a4b2391a7625493d
Saving…,Enregistrement…,,site/modules/Cookie/ProcessCookie.module.php,eedf6b8bfc83284c3294ec4b38188e8a
"Secondary button","Bouton secondaire",,site/modules/Cookie/ProcessCookie.module.php,17ba88fcdd3edd04a9b30146830089ed
"Secondary text","Texte secondaire",,site/modules/Cookie/ProcessCookie.module.php,b899cb40112ad30057069504347621cb
"Serif (Georgia)","Serif (Georgia)",,site/modules/Cookie/ProcessCookie.module.php,601e681dc352341622a2655ff2193ac7
"Settings file (.json):","Fichier de paramètres (.json) :",,site/modules/Cookie/ProcessCookie.module.php,f09332d0624466eead605f3b8fa8937b
Shadow,Ombre,,site/modules/Cookie/ProcessCookie.module.php,3f39588bb19e28051d9aedfbb170025c
Shape,Forme,,site/modules/Cookie/ProcessCookie.module.php,880c1273b27d27cfc82004c3a4b205c9
"Show icon after consent is given","Afficher l'icône une fois le consentement donné",,site/modules/Cookie/ProcessCookie.module.php,cfa1b43c92a1b2103d4c5f8bb60ab0ac
Size,Taille,,site/modules/Cookie/ProcessCookie.module.php,6f6cb72d544962fa333e2e34ce64f719
Soft,Doux,,site/modules/Cookie/ProcessCookie.module.php,682160fc6ad12f783f70608a9b46b9b9
Square,Carré,,site/modules/Cookie/ProcessCookie.module.php,ceb46ca115d05c51aa5a16a8867c3304
Strong,Fort,,site/modules/Cookie/ProcessCookie.module.php,c43e0fd449c758dab8f891d8e19eb1a9
"System UI","UI système",,site/modules/Cookie/ProcessCookie.module.php,6d23681e30f0301f63d2c2eb2cfa9c08
Text,Texte,,site/modules/Cookie/ProcessCookie.module.php,9dffbf69ffba8bc38bc4e01abf4b1675
"Texts & behavior","Textes et comportement",,site/modules/Cookie/ProcessCookie.module.php,d7af4383490aebfe35d254d8ab6544df
"This file is not a Cookie settings export.","Ce fichier n'est pas un export de paramètres Cookie.",,site/modules/Cookie/ProcessCookie.module.php,a695306cddd7aa02273958df3063d5b3
"This page previews the cookie policy generated from your categories and services. Output it in a template, or copy the HTML into a page.","Cette page présente un aperçu de la politique de cookies générée à partir de vos catégories et services. Affichez-la dans un template, ou copiez le HTML dans une page.",,site/modules/Cookie/ProcessCookie.module.php,ae71f2c15fdcb289e6c8093b0b06eb6f
"Title size","Taille du titre",,site/modules/Cookie/ProcessCookie.module.php,fc1ef35879db8fdc9c114e0aa0200bef
"Toggle dark preview","Basculer l'aperçu sombre",,site/modules/Cookie/ProcessCookie.module.php,9494acd2cf771a112ed911c18313b5e0
"Toggles / accent","Interrupteurs / accent",,site/modules/Cookie/ProcessCookie.module.php,45d6d3314ba50f4928af70105c564255
Top,Haut,,site/modules/Cookie/ProcessCookie.module.php,a4ffdcf0dc1f31b9acaf295d75b51d00
"Total decisions","Total des décisions",,site/modules/Cookie/ProcessCookie.module.php,9c5eb808516b13c12cac20a87f9b73ea
"Unsaved changes","Modifications non enregistrées",,site/modules/Cookie/ProcessCookie.module.php,c227ad77f168e7fd3e21583b324eddf4
"User agent","Agent utilisateur",,site/modules/Cookie/ProcessCookie.module.php,881e9a305ce80960413ab7f227ef879e
Version,Version,,site/modules/Cookie/ProcessCookie.module.php,34b6cd75171affba6957e308dcbd92be
"View raw log","Voir le journal brut",,site/modules/Cookie/ProcessCookie.module.php,cdb8be81a03e65078648edda740cc38e
"last %d days","%d derniers jours",,site/modules/Cookie/ProcessCookie.module.php,83002a2dfb6b5c9a35104114610d2810
"module settings","paramètres du module",,site/modules/Cookie/ProcessCookie.module.php,6d8fba3e59db49101141459569cce6d6
visitors,visiteurs,,site/modules/Cookie/ProcessCookie.module.php,f24d2cc05ca7eaa87d0959ea3f5ddfb2
"…or paste JSON:","…ou collez du JSON :",,site/modules/Cookie/ProcessCookie.module.php,566a8914c1ca070d7113418617337db8
