en,es,description,file,hash
"IP (hashed)","IP (con hash)",,site/modules/Cookie/ProcessCookie.module.php,ed4f457da638bde3ca762927ed248683
Icon,Icono,,site/modules/Cookie/ProcessCookie.module.php,817434295a673aed431435658b65d9a7
"Icon color","Color del icono",,site/modules/Cookie/ProcessCookie.module.php,534b7c706186028f1b4f51344bbca176
Import,Importar,,site/modules/Cookie/ProcessCookie.module.php,72d6d7a1885885bb55a565fd1070581a
"Import settings","Importar ajustes",,site/modules/Cookie/ProcessCookie.module.php,6005f32a6b0b2eff40beaf1834123d4d
"Imported %1$d settings (%2$d ignored).","%1$d ajustes importados (%2$d ignorados).",,site/modules/Cookie/ProcessCookie.module.php,f6ac66b09e72906ef2453a8834c73470
"Importing overwrites the current settings. Consider exporting a backup first.","La importación sobrescribe los ajustes actuales. Considera exportar una copia de seguridad primero.",,site/modules/Cookie/ProcessCookie.module.php,18834916829a38f3163b19d32ce564e1
"Inherit from site","Heredar del sitio",,site/modules/Cookie/ProcessCookie.module.php,dae47d40a59dc1bb51bd24a025ec08af
"Invalid JSON.","JSON no válido.",,site/modules/Cookie/ProcessCookie.module.php,1ad5711558f857533fed41f1fd1dd681
Layout,Diseño,,site/modules/Cookie/ProcessCookie.module.php,ebd9bec4d70abc789d439c1f136b0538
Links,Enlaces,,site/modules/Cookie/ProcessCookie.module.php,bd908db5ccb07777ced8023dffc802f4
"Max width","Ancho máximo",,site/modules/Cookie/ProcessCookie.module.php,477964da3b7a710156efc82fc4bc72e2
Mobile,Móvil,,site/modules/Cookie/ProcessCookie.module.php,87d17f4624a514e81dc7c8e016a7405c
Modal,Modal,,site/modules/Cookie/ProcessCookie.module.php,c59d6df802c32f037c2a15ff75faec17
Monospace,Monospace,,site/modules/Cookie/ProcessCookie.module.php,a3fd27e2bbcda0c7be0037ee70829384
Newer,"Más reciente",,site/modules/Cookie/ProcessCookie.module.php,236c7642a79eeb1b4154eb4712bd4068
"No consent records in the selected period yet. Statistics will appear once visitors start making choices.","Todavía no hay registros de consentimiento en el periodo seleccionado. Las estadísticas aparecerán cuando los visitantes empiecen a elegir.",,site/modules/Cookie/ProcessCookie.module.php,13714d36d70292e9e67c43f8d5601eb3
"No background (icon only)","Sin fondo (solo icono)",,site/modules/Cookie/ProcessCookie.module.php,50439895ce2d5960bc1b29c976ec099e
None,Ninguno,,site/modules/Cookie/ProcessCookie.module.php,6adf97f83acf6453d4a6a4b1070f3754
"Nothing to import — choose a file or paste JSON.","Nada que importar: elige un archivo o pega el JSON.",,site/modules/Cookie/ProcessCookie.module.php,2ef00be329855f27b740af6bcebf1445
"Offset X","Desplazamiento X",,site/modules/Cookie/ProcessCookie.module.php,85702e5968e1616bd5c577cf306b9806
"Offset Y","Desplazamiento Y",,site/modules/Cookie/ProcessCookie.module.php,73411f5996beaef37222d8cac0b89b71
Older,"Más antiguo",,site/modules/Cookie/ProcessCookie.module.php,625fd29749d91880963143cfd589bd8f
"Only necessary","Solo necesarias",,site/modules/Cookie/ProcessCookie.module.php,1161afd7e32ff458ab47afd41eeb0ab5
Padding,Relleno,,site/modules/Cookie/ProcessCookie.module.php,a10443964156b9e87c95e74c8f9baf15
"Page %1$d of %2$d","Página %1$d de %2$d",,site/modules/Cookie/ProcessCookie.module.php,3a1ed905045e5cf29efec452131f9403
Placeholder,"Marcador de posición",,site/modules/Cookie/ProcessCookie.module.php,68753d36ec0c4d7768b20993268d68d1
Position,Posición,,site/modules/Cookie/ProcessCookie.module.php,52f5e0bc3859bc5f5e25130b6c7e8881
Preferences,Preferencias,,site/modules/Cookie/ProcessCookie.module.php,d0834fcec6337785ee749c8f5464f6f6
Presets,Preajustes,,site/modules/Cookie/ProcessCookie.module.php,eb81441fe20963ff9e8e69c5b32fc625
Preview,"Vista previa",,site/modules/Cookie/ProcessCookie.module.php,31fde7b05ac8952dacf4af8a704074ec
"Primary button","Botón principal",,site/modules/Cookie/ProcessCookie.module.php,7c81d84b14ee6209a9afa0f4a06cff54
"Primary text","Texto principal",,site/modules/Cookie/ProcessCookie.module.php,9357eb899e4060dd46a48207b967a0e8
"Reset to defaults","Restablecer valores predeterminados",,site/modules/Cookie/ProcessCookie.module.php,21e2bb42873eddcb9b476b8eafbe0c18
Round,Redondo,,site/modules/Cookie/ProcessCookie.module.php,b7f41fc1412ad2ee75e9b2635d3b9d5c
Rounded,Redondeado,,site/modules/Cookie/ProcessCookie.module.php,bef2481eda40bd121482f1814d72314f
"Same order as above: primary button, background, secondary button.","Mismo orden que arriba: botón principal, fondo, botón secundario.",,site/modules/Cookie/ProcessCookie.module.php,7dc627172c2de0d2cd31f6373b5986a3
"Save design","Guardar diseño",,site/modules/Cookie/ProcessCookie.module.php,eb503511e27315827ba931d4cf89f353
"Save failed","Error al guardar",,site/modules/Cookie/ProcessCookie.module.php,e32a4e5887229cc3ce7412591de16cff
Saved,Guardado,,site/modules/Cookie/ProcessCookie.module.php,248336101b461380a4b2391a7625493d
Saving…,Guardando…,,site/modules/Cookie/ProcessCookie.module.php,eedf6b8bfc83284c3294ec4b38188e8a
"Secondary button","Botón secundario",,site/modules/Cookie/ProcessCookie.module.php,17ba88fcdd3edd04a9b30146830089ed
"Secondary text","Texto secundario",,site/modules/Cookie/ProcessCookie.module.php,b899cb40112ad30057069504347621cb
"Serif (Georgia)","Serif (Georgia)",,site/modules/Cookie/ProcessCookie.module.php,601e681dc352341622a2655ff2193ac7
"Settings file (.json):","Archivo de ajustes (.json):",,site/modules/Cookie/ProcessCookie.module.php,f09332d0624466eead605f3b8fa8937b
Shadow,Sombra,,site/modules/Cookie/ProcessCookie.module.php,3f39588bb19e28051d9aedfbb170025c
Shape,Forma,,site/modules/Cookie/ProcessCookie.module.php,880c1273b27d27cfc82004c3a4b205c9
"Show icon after consent is given","Mostrar icono tras dar el consentimiento",,site/modules/Cookie/ProcessCookie.module.php,cfa1b43c92a1b2103d4c5f8bb60ab0ac
Size,Tamaño,,site/modules/Cookie/ProcessCookie.module.php,6f6cb72d544962fa333e2e34ce64f719
Soft,Suave,,site/modules/Cookie/ProcessCookie.module.php,682160fc6ad12f783f70608a9b46b9b9
Square,Cuadrado,,site/modules/Cookie/ProcessCookie.module.php,ceb46ca115d05c51aa5a16a8867c3304
Strong,Fuerte,,site/modules/Cookie/ProcessCookie.module.php,c43e0fd449c758dab8f891d8e19eb1a9
"System UI","UI del sistema",,site/modules/Cookie/ProcessCookie.module.php,6d23681e30f0301f63d2c2eb2cfa9c08
Text,Texto,,site/modules/Cookie/ProcessCookie.module.php,9dffbf69ffba8bc38bc4e01abf4b1675
"Texts & behavior","Textos y comportamiento",,site/modules/Cookie/ProcessCookie.module.php,d7af4383490aebfe35d254d8ab6544df
"This file is not a Cookie settings export.","Este archivo no es una exportación de ajustes de Cookie.",,site/modules/Cookie/ProcessCookie.module.php,a695306cddd7aa02273958df3063d5b3
"This page previews the cookie policy generated from your categories and services. Output it in a template, or copy the HTML into a page.","Esta página muestra una vista previa de la política de cookies generada a partir de tus categorías y servicios. Imprímela en una plantilla, o copia el HTML en una página.",,site/modules/Cookie/ProcessCookie.module.php,ae71f2c15fdcb289e6c8093b0b06eb6f
"Title size","Tamaño del título",,site/modules/Cookie/ProcessCookie.module.php,fc1ef35879db8fdc9c114e0aa0200bef
"Toggle dark preview","Alternar vista previa oscura",,site/modules/Cookie/ProcessCookie.module.php,9494acd2cf771a112ed911c18313b5e0
"Toggles / accent","Interruptores / acento",,site/modules/Cookie/ProcessCookie.module.php,45d6d3314ba50f4928af70105c564255
Top,Arriba,,site/modules/Cookie/ProcessCookie.module.php,a4ffdcf0dc1f31b9acaf295d75b51d00
"Total decisions","Decisiones totales",,site/modules/Cookie/ProcessCookie.module.php,9c5eb808516b13c12cac20a87f9b73ea
"Unsaved changes","Cambios sin guardar",,site/modules/Cookie/ProcessCookie.module.php,c227ad77f168e7fd3e21583b324eddf4
"User agent","Agente de usuario",,site/modules/Cookie/ProcessCookie.module.php,881e9a305ce80960413ab7f227ef879e
Version,Versión,,site/modules/Cookie/ProcessCookie.module.php,34b6cd75171affba6957e308dcbd92be
"View raw log","Ver registro sin procesar",,site/modules/Cookie/ProcessCookie.module.php,cdb8be81a03e65078648edda740cc38e
"last %d days","últimos %d días",,site/modules/Cookie/ProcessCookie.module.php,83002a2dfb6b5c9a35104114610d2810
"module settings","ajustes del módulo",,site/modules/Cookie/ProcessCookie.module.php,6d8fba3e59db49101141459569cce6d6
visitors,visitantes,,site/modules/Cookie/ProcessCookie.module.php,f24d2cc05ca7eaa87d0959ea3f5ddfb2
"…or paste JSON:","…o pega JSON:",,site/modules/Cookie/ProcessCookie.module.php,566a8914c1ca070d7113418617337db8
