en,it,description,file,hash
Shape,Forma,,site/modules/Cookie/ProcessCookie.module.php,880c1273b27d27cfc82004c3a4b205c9
"Show icon after consent is given","Mostra l’icona dopo il consenso",,site/modules/Cookie/ProcessCookie.module.php,cfa1b43c92a1b2103d4c5f8bb60ab0ac
Size,Dimensione,,site/modules/Cookie/ProcessCookie.module.php,6f6cb72d544962fa333e2e34ce64f719
Soft,Leggera,,site/modules/Cookie/ProcessCookie.module.php,682160fc6ad12f783f70608a9b46b9b9
Square,Quadrato,,site/modules/Cookie/ProcessCookie.module.php,ceb46ca115d05c51aa5a16a8867c3304
Strong,Forte,,site/modules/Cookie/ProcessCookie.module.php,c43e0fd449c758dab8f891d8e19eb1a9
"System UI","UI di sistema",,site/modules/Cookie/ProcessCookie.module.php,6d23681e30f0301f63d2c2eb2cfa9c08
Text,Testo,,site/modules/Cookie/ProcessCookie.module.php,9dffbf69ffba8bc38bc4e01abf4b1675
"Texts & behavior","Testi e comportamento",,site/modules/Cookie/ProcessCookie.module.php,d7af4383490aebfe35d254d8ab6544df
"This file is not a Cookie settings export.","Questo file non è un'esportazione delle impostazioni di Cookie.",,site/modules/Cookie/ProcessCookie.module.php,a695306cddd7aa02273958df3063d5b3
"This page previews the cookie policy generated from your categories and services. Output it in a template, or copy the HTML into a page.","Questa pagina mostra l'anteprima dell'informativa sui cookie generata dalle tue categorie e servizi. Stampala in un template, oppure copia l'HTML in una pagina.",,site/modules/Cookie/ProcessCookie.module.php,ae71f2c15fdcb289e6c8093b0b06eb6f
"Title size","Dimensione del titolo",,site/modules/Cookie/ProcessCookie.module.php,fc1ef35879db8fdc9c114e0aa0200bef
"Toggle dark preview","Attiva/disattiva anteprima scura",,site/modules/Cookie/ProcessCookie.module.php,9494acd2cf771a112ed911c18313b5e0
"Toggles / accent","Interruttori / accento",,site/modules/Cookie/ProcessCookie.module.php,45d6d3314ba50f4928af70105c564255
Top,"In alto",,site/modules/Cookie/ProcessCookie.module.php,a4ffdcf0dc1f31b9acaf295d75b51d00
"Total decisions","Decisioni totali",,site/modules/Cookie/ProcessCookie.module.php,9c5eb808516b13c12cac20a87f9b73ea
"Unsaved changes","Modifiche non salvate",,site/modules/Cookie/ProcessCookie.module.php,c227ad77f168e7fd3e21583b324eddf4
"User agent","User agent",,site/modules/Cookie/ProcessCookie.module.php,881e9a305ce80960413ab7f227ef879e
Version,Versione,,site/modules/Cookie/ProcessCookie.module.php,34b6cd75171affba6957e308dcbd92be
"View raw log","Visualizza registro grezzo",,site/modules/Cookie/ProcessCookie.module.php,cdb8be81a03e65078648edda740cc38e
"last %d days","ultimi %d giorni",,site/modules/Cookie/ProcessCookie.module.php,83002a2dfb6b5c9a35104114610d2810
"module settings","impostazioni del modulo",,site/modules/Cookie/ProcessCookie.module.php,6d8fba3e59db49101141459569cce6d6
visitors,visitatori,,site/modules/Cookie/ProcessCookie.module.php,f24d2cc05ca7eaa87d0959ea3f5ddfb2
"…or paste JSON:","…oppure incolla JSON:",,site/modules/Cookie/ProcessCookie.module.php,566a8914c1ca070d7113418617337db8
